player_name,season_label,season_year,gleague_teams,nba_teams,callup_dates,contract_type,times_called_up
Jalen Crutcher,2024-25,2024,['Birmingham Squadron'],['New Orleans Pelicans'],['02-26-2025'],['Two-Way'],1
Jalen McDaniels,2024-25,2024,['Capital City Go-Go'],['Washington Wizards'],['02-22-2025'],['10-Day'],1
Jamaree Bouyea,2022-23,2022,['Sioux Falls Skyforce'],"['Miami Heat', 'Washington Wizards']","['02-08-2023', '03-03-2023']","['10-Day', '10-Day']",2
Jamaree Bouyea,2023-24,2023,['Sioux Falls Skyforce'],"['Portland Trail Blazers', 'San Antonio Spurs']","['11-12-2023', '03-02-2024']","['Two-Way', 'Two-Way']",2
Jamaree Bouyea,2024-25,2024,['Austin Spurs'],['Milwaukee Bucks'],['03-05-2025'],['Two-Way'],1
Jared Butler,2022-23,2022,['Grand Rapids Gold'],['Oklahoma City Thunder'],['03-03-2023'],['Two-Way'],1
Jared Harper,2021-22,2021,['Birmingham Squadron'],['New Orleans Pelicans'],"['12-21-2021', '03-29-2022']","['Two-Way', 'Two-Way']",2
Jared Rhoden,2022-23,2022,['College Park Skyhawks'],['Detroit Pistons'],['12-26-2022'],['Two-Way'],1
Jared Rhoden,2024-25,2024,['Raptors 905'],['Toronto Raptors'],"['02-19-2025', '03-04-2025']","['10-Day', 'Two-Way']",2
Jarrod Uthoff,2019-20,2019,['Memphis Hustle'],['Memphis Grizzlies'],['02-27-2020'],['10-Day'],1
Jarron Cumberland,2021-22,2021,['Delaware Blue Coats'],['Portland Trail Blazers'],['12-26-2021'],['10-Day'],1
Jason Preston,2023-24,2023,['Memphis Hustle'],['Utah Jazz'],['01-09-2024'],['Two-Way'],1
Javante McCoy,2024-25,2024,['Motor City Cruise'],['Detroit Pistons'],['12-15-2024'],['Standard'],1
Javin DeLaurier,2021-22,2021,['Wisconsin Herd'],['Milwaukee Bucks'],['12-23-2021'],['10-Day'],1
Javonte Green,2023-24,2023,['Santa Cruz Warriors'],['Chicago Bulls'],['03-23-2024'],['10-Day'],1
Javonte Smart,2021-22,2021,['Sioux Falls Skyforce'],"['Milwaukee Bucks', 'Miami Heat']","['11-30-2021', '02-15-2022']","['Two-Way', 'Two-Way']",2
Jay Huff,2022-23,2022,['South Bay Lakers'],['Washington Wizards'],['03-01-2023'],['Two-Way'],1
Jay Scrubb,2022-23,2022,['Lakeland Magic'],['Orlando Magic'],['03-24-2023'],['Two-Way'],1
Jaylen Hoard,2020-21,2021,['Oklahoma City Blue'],['Oklahoma City Thunder'],['04-05-2021'],['Two-Way'],1
Jaylen Hoard,2021-22,2021,['Oklahoma City Blue'],['Oklahoma City Thunder'],"['12-28-2021', '04-01-2022']","['10-Day', '10-Day']",2
Jaylen Martin,2023-24,2023,['Westchester Knicks'],"['New York Knicks', 'Brooklyn Nets']","['11-27-2023', '02-21-2024']","['Two-Way', 'Two-Way']",2
Jaylen Martin,2024-25,2024,['Delaware Blue Coats'],['Washington Wizards'],['02-08-2025'],['Two-Way'],1
Jaylen Morris,2021-22,2021,['Austin Spurs'],['San Antonio Spurs'],['01-01-2022'],['10-Day'],1
Jaylen Nowell,2023-24,2023,['Stockton Kings'],"['Memphis Grizzlies', 'Detroit Pistons']","['11-24-2023', '04-03-2024']","['10-Day', '10-Day']",2
Jaylen Nowell,2024-25,2024,['Capital City Go-Go'],"['New Orleans Pelicans', 'Washington Wizards']","['11-03-2024', '02-08-2025']","['Standard', '10-Day']",2
Jaylen Sims,2024-25,2024,['Greensboro Swarm'],['Charlotte Hornets'],['04-03-2025'],['10-Day'],1
Jaysean Paige,2021-22,2021,['Maine Celtics'],['Detroit Pistons'],['12-31-2021'],['10-Day'],1
Jeenathan Williams,2022-23,2022,['Salt Lake City Stars'],['Portland Trail Blazers'],['04-01-2023'],['Standard'],1
Jeff Dowtin,2021-22,2021,['Lakeland Magic'],['Orlando Magic'],['03-22-2022'],['10-Day'],1
Jeff Dowtin Jr.,2023-24,2023,['Delaware Blue Coats'],['Philadelphia 76ers'],['03-02-2024'],['Two-Way'],1
Jemerrio Jones,2021-22,2021,['Wisconsin Herd'],['Los Angeles Lakers'],['12-21-2021'],['10-Day'],1
Jeremiah Martin,2019-20,2019,['Sioux Falls Skyforce'],['Brooklyn Nets'],['01-16-2020'],['Two-Way'],1
Jeremiah Martin,2020-21,2021,['Long Island Nets'],['Cleveland Cavaliers'],['04-28-2021'],['Two-Way'],1
Jeremy Pargo,2019-20,2019,['Santa Cruz Warriors'],['Golden State Warriors'],['02-08-2020'],['10-Day'],1
Joe Chealey,2019-20,2019,['Greensboro Swarm'],['Charlotte Hornets'],['02-21-2020'],['10-Day'],1
Joe Wieskamp,2022-23,2022,['Wisconsin Herd'],['Toronto Raptors'],"['01-07-2023', '02-11-2023']","['10-Day', 'Standard']",2
Jon Teske,2021-22,2021,['Lakeland Magic'],['Memphis Grizzlies'],['01-03-2022'],['10-Day'],1
Jontay Porter,2023-24,2023,['Motor City Cruise'],['Toronto Raptors'],['12-10-2023'],['Two-Way'],1
