player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Haywood Highsmith,Delaware Blue Coats,Miami Heat,2022-02-15,10-Day,2021-22,2021
Henri Drell,Windy City Bulls,Chicago Bulls,2023-12-16,Two-Way,2023-24,2023
Henry Ellenson,Raptors 905,Toronto Raptors,2021-03-10,10-Day,2020-21,2021
Ibou Badji,Wisconsin Herd,Portland Trail Blazers,2022-11-18,Two-Way,2022-23,2022
Ibou Badji,Wisconsin Herd,Portland Trail Blazers,2023-11-22,Two-Way,2023-24,2023
Isaiah Mobley,Delaware Blue Coats,Philadelphia 76ers,2025-04-13,10-Day,2024-25,2024
Isaiah Stevens,Sioux Falls Skyforce,Miami Heat,2024-12-26,Two-Way,2024-25,2024
Isaiah Thomas,Grand Rapids Gold,Los Angeles Lakers,2021-12-17,10-Day,2021-22,2021
Isaiah Thomas,Grand Rapids Gold,Charlotte Hornets,2022-03-02,10-Day,2021-22,2021
Isaiah Thomas,Salt Lake City Stars,Phoenix Suns,2024-03-20,10-Day,2023-24,2023
Isaiah Wong,Salt Lake City Stars,Charlotte Hornets,2024-12-02,Two-Way,2024-25,2024
Izaiah Brockington,Birmingham Squadron,New Orleans Pelicans,2024-03-03,10-Day,2023-24,2023
J.P. Macura,Canton Charge,Cleveland Cavaliers,2020-02-09,10-Day,2019-20,2019
Jack White,South Bay Lakers,Memphis Grizzlies,2024-04-10,10-Day,2023-24,2023
Jackson Rowe,Santa Cruz Warriors,Golden State Warriors,2025-01-28,Two-Way,2024-25,2024
Jacob Gilyard,Memphis Hustle,Memphis Grizzlies,2023-04-08,Two-Way,2022-23,2022
Jacob Toppin,Westchester Knicks,New York Knicks,2024-03-05,Two-Way,2023-24,2023
Jahlil Okafor,Indiana Mad Ants,Indiana Pacers,2025-02-11,10-Day,2024-25,2024
Jahmi'us Ramsey,Oklahoma City Blue,Toronto Raptors,2024-03-04,10-Day,2023-24,2023
