Date,Player,Active,Team,Type,date,season,player_name,nba_team,contract_type
02/08/17,"Stephenson, Lance",,Minnesota Timberwolves,Two 10-day contracts (only 1st date is shown),2017-02-08,2016-17,"Stephenson, Lance",Minnesota Timberwolves,Two 10-day contracts (only 1st date is shown)
02/08/17,"Georges-Hunt, Marcus",,Miami Heat,10-day contract,2017-02-08,2016-17,"Georges-Hunt, Marcus",Miami Heat,10-day contract
02/04/17,"Weber, Briante",,Golden State Warriors,Two 10-day contracts (only 1st date is shown),2017-02-04,2016-17,"Weber, Briante",Golden State Warriors,Two 10-day contracts (only 1st date is shown)
02/03/17,"Tobey, Mike",,Charlotte Hornets,Two 10-day contracts (only 1st date is shown),2017-02-03,2016-17,"Tobey, Mike",Charlotte Hornets,Two 10-day contracts (only 1st date is shown)
02/03/17,"McCallum, Ray",,Charlotte Hornets,Two 10-day contracts (only 1st date is shown),2017-02-03,2016-17,"McCallum, Ray",Charlotte Hornets,Two 10-day contracts (only 1st date is shown)
01/30/17,"Douglas, Toney",,Memphis Grizzlies,Two 10-day contracts followed by signing for the rest of season,2017-01-30,2016-17,"Douglas, Toney",Memphis Grizzlies,Two 10-day contracts followed by signing for the rest of season
01/29/17,"Patterson, Lamar",,Atlanta Hawks,Two 10-day contracts followed by signing for the rest of season,2017-01-29,2016-17,"Patterson, Lamar",Atlanta Hawks,Two 10-day contracts followed by signing for the rest of season
01/28/17,"Ferrell, Yogi",,Dallas Mavericks,10-day contract followed by signing for the rest of season,2017-01-28,2016-17,"Ferrell, Yogi",Dallas Mavericks,10-day contract followed by signing for the rest of season
01/27/17,"Price, Ronnie",,Phoenix Suns,Two 10-day contracts followed by signing for the rest of season,2017-01-27,2016-17,"Price, Ronnie",Phoenix Suns,Two 10-day contracts followed by signing for the rest of season
01/26/17,"O'Bryant, Johnny",,Denver Nuggets,Two 10-day contracts (only 1st date is shown),2017-01-26,2016-17,"O'Bryant, Johnny",Denver Nuggets,Two 10-day contracts (only 1st date is shown)
01/23/17,"Anthony, Joel",,San Antonio Spurs,Two 10-day contracts followed by signing for the rest of season,2017-01-23,2016-17,"Anthony, Joel",San Antonio Spurs,Two 10-day contracts followed by signing for the rest of season
01/22/17,"Brown, Anthony",,Orlando Magic,10-day contract,2017-01-22,2016-17,"Brown, Anthony",Orlando Magic,10-day contract
01/18/17,"Neal, Gary",,Atlanta Hawks,10-day contract,2017-01-18,2016-17,"Neal, Gary",Atlanta Hawks,10-day contract
01/17/17,"White, Okaro",,Miami Heat,Two 10-day contracts followed by signing for the rest of season,2017-01-17,2016-17,"White, Okaro",Miami Heat,Two 10-day contracts followed by signing for the rest of season
01/15/17,"Jackson, Pierre",,Dallas Mavericks,Two 10-day contracts (only 1st date is shown),2017-01-15,2016-17,"Jackson, Pierre",Dallas Mavericks,Two 10-day contracts (only 1st date is shown)
01/15/17,"Jackson, Pierre",,Dallas Mavericks,Two 10-day contracts (only 1st date is shown),2017-01-15,2016-17,"Jackson, Pierre",Dallas Mavericks,Two 10-day contracts (only 1st date is shown)
01/10/17,"Randle, Chasson",,Philadelphia 76ers,Two 10-day contracts followed by signing for the rest of season,2017-01-10,2016-17,"Randle, Chasson",Philadelphia 76ers,Two 10-day contracts followed by signing for the rest of season
01/10/17,"Acy, Quincy",,Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season,2017-01-10,2016-17,"Acy, Quincy",Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season
01/08/17,"Gee, Alonzo",,Denver Nuggets,10-day contract,2017-01-08,2016-17,"Gee, Alonzo",Denver Nuggets,10-day contract
04/01/16,"Cotton, Bryce",,Memphis Grizzlies,10-day contract followed by signing for the rest of season,2016-04-01,2015-16,"Cotton, Bryce",Memphis Grizzlies,10-day contract followed by signing for the rest of season
03/30/16,"Ennis, James",,New Orleans Pelicans,10-day contract followed by signing for the rest of season,2016-03-30,2015-16,"Ennis, James",New Orleans Pelicans,10-day contract followed by signing for the rest of season
03/25/16,"Hamilton, Jordan",,New Orleans Pelicans,10-day contract followed by signing for the rest of season,2016-03-25,2015-16,"Hamilton, Jordan",New Orleans Pelicans,10-day contract followed by signing for the rest of season
03/21/16,"Farmar, Jordan",,Memphis Grizzlies,10-day contract followed by signing for the rest of season,2016-03-21,2015-16,"Farmar, Jordan",Memphis Grizzlies,10-day contract followed by signing for the rest of season
03/18/16,"Brown, Lorenzo",,Detroit Pistons,Two 10-day contracts followed by signing for the rest of season,2016-03-18,2015-16,"Brown, Lorenzo",Detroit Pistons,Two 10-day contracts followed by signing for the rest of season
03/17/16,"Sims, Henry",,Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season,2016-03-17,2015-16,"Sims, Henry",Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season
03/16/16,"Frazier, Tim",,New Orleans Pelicans,10-day contract followed by signing for the rest of season,2016-03-16,2015-16,"Frazier, Tim",New Orleans Pelicans,10-day contract followed by signing for the rest of season
03/16/16,"Cunningham, Jared",,Milwaukee Bucks,10-day contract,2016-03-16,2015-16,"Cunningham, Jared",Milwaukee Bucks,10-day contract
03/16/16,"Munford, Xavier",,Memphis Grizzlies,Two 10-day contracts followed by signing for the rest of season,2016-03-16,2015-16,"Munford, Xavier",Memphis Grizzlies,Two 10-day contracts followed by signing for the rest of season
03/12/16,"Stepheson, Alex",,Memphis Grizzlies,10-day contract,2016-03-12,2015-16,"Stepheson, Alex",Memphis Grizzlies,10-day contract
03/12/16,"McCallum, Ray",,Memphis Grizzlies,Two 10-day contracts (only 1st date is shown),2016-03-12,2015-16,"McCallum, Ray",Memphis Grizzlies,Two 10-day contracts (only 1st date is shown)
03/11/16,"Weber, Briante",,Memphis Grizzlies,10-day contract,2016-03-11,2015-16,"Weber, Briante",Memphis Grizzlies,10-day contract
03/09/16,"Johnson, Orlando",,New Orleans Pelicans,10-day contract,2016-03-09,2015-16,"Johnson, Orlando",New Orleans Pelicans,10-day contract
03/08/16,"Williams, Alan",,Phoenix Suns,10-day contract followed by signing for the rest of season,2016-03-08,2015-16,"Williams, Alan",Phoenix Suns,10-day contract followed by signing for the rest of season
03/07/16,"Clarke, Coty",,Boston Celtics,Two 10-day contracts (only 1st date is shown),2016-03-07,2015-16,"Clarke, Coty",Boston Celtics,Two 10-day contracts (only 1st date is shown)
03/04/16,"Wood, Christian",,Philadelphia 76ers,Two 10-day contracts followed by signing for the rest of season,2016-03-04,2015-16,"Wood, Christian",Philadelphia 76ers,Two 10-day contracts followed by signing for the rest of season
03/03/16,"Toupane, Axel",,Denver Nuggets,Two 10-day contracts followed by signing for the rest of season,2016-03-03,2015-16,"Toupane, Axel",Denver Nuggets,Two 10-day contracts followed by signing for the rest of season
03/02/16,"Smith, Greg",,Minnesota Timberwolves,Two 10-day contracts followed by signing for the rest of season,2016-03-02,2015-16,"Smith, Greg",Minnesota Timberwolves,Two 10-day contracts followed by signing for the rest of season
02/28/16,"Kilpatrick, Sean",,Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season,2016-02-28,2015-16,"Kilpatrick, Sean",Brooklyn Nets,Two 10-day contracts followed by signing for the rest of season
02/28/16,"McRae, Jordan",,Cleveland Cavaliers,10-day contract followed by signing for the rest of season,2016-02-28,2015-16,"McRae, Jordan",Cleveland Cavaliers,10-day contract followed by signing for the rest of season
02/24/16,"Harper, Justin",,Detroit Pistons,Two 10-day contracts (only 1st date is shown),2016-02-24,2015-16,"Harper, Justin",Detroit Pistons,Two 10-day contracts (only 1st date is shown)
02/22/16,"Fredette, Jimmer",,New York Knicks,10-day contract,2016-02-22,2015-16,"Fredette, Jimmer",New York Knicks,10-day contract
02/20/16,"Gutierrez, Jorge",,Charlotte Hornets,10-day contract followed by signing for the rest of season,2016-02-20,2015-16,"Gutierrez, Jorge",Charlotte Hornets,10-day contract followed by signing for the rest of season
02/20/16,"Pressey, Phil",,Phoenix Suns,Two 10-day contracts (only 1st date is shown),2016-02-20,2015-16,"Pressey, Phil",Phoenix Suns,Two 10-day contracts (only 1st date is shown)
